region,year,ball
Житомирська область,2020,22
Донецька область,2019,23
Черкаська область,2020,22
Житомирська область,2019,23
Київська область,2020,22
Київська область,2019,23
Дніпропетровська область,2020,22
Вінницька область,2020,22
Тернопільська область,2020,22
Рівненська область,2019,23
Чернігівська область,2020,22
Миколаївська область,2020,22
Івано-Франківська область,2019,23
Волинська область,2019,23
Вінницька область,2019,23
Херсонська область,2019,23
Львівська область,2020,22
Кіровоградська область,2019,23
Рівненська область,2020,22
Закарпатська область,2019,14
Харківська область,2020,22
Одеська область,2019,14
Хмельницька область,2020,22
Луганська область,2020,22
Одеська область,2020,16
Сумська область,2020,22
Донецька область,2020,22
Чернівецька область,2020,15
Волинська область,2020,22
Полтавська область,2019,23
Чернігівська область,2019,23
м.Київ,2020,22
Херсонська область,2020,22
Харківська область,2019,23
Миколаївська область,2019,23
Запорізька область,2019,23
Луганська область,2019,23
Чернівецька область,2019,14
Львівська область,2019,23
Хмельницька область,2019,23
Кіровоградська область,2020,22
Черкаська область,2019,23
Тернопільська область,2019,23
Сумська область,2019,23
м.Київ,2019,23
Дніпропетровська область,2019,23
Запорізька область,2020,22
Закарпатська область,2020,15
Полтавська область,2020,22
Івано-Франківська область,2020,22
